20.000000,20.000000,20.000000,20.000000,100.000000,100.000000,100.000000,100.000000,20.000000,20.000000,20.000000,20.000000,
20.000000,23.044885,27.792331,38.050316,65.779704,74.233947,74.233947,65.779704,38.050316,27.792331,23.044885,20.000000,
20.000000,24.390823,30.081070,38.638928,50.846239,56.934846,56.934846,50.846239,38.638928,30.081070,24.390823,20.000000,
20.000000,24.444282,29.515500,35.596709,42.053870,45.748729,45.748729,42.053870,35.596709,29.515500,24.444282,20.000000,
20.000000,23.880483,27.958540,32.204507,36.055085,38.291497,38.291497,36.055085,32.204507,27.958540,23.880483,20.000000,
20.000000,23.130760,26.255990,29.238933,31.708036,33.111575,33.111575,31.708036,29.238933,26.255990,23.130760,20.000000,
20.000000,22.399201,24.720004,26.821095,28.467384,29.379607,29.379607,28.467384,26.821095,24.720004,22.399201,20.000000,
20.000000,21.758668,23.427929,24.891929,26.001526,26.604201,26.604201,26.001526,24.891929,23.427929,21.758668,20.000000,
20.000000,21.219107,22.363346,23.348200,24.079977,24.472135,24.472135,24.079977,23.348200,22.363346,21.219107,20.000000,
20.000000,20.764026,21.476559,22.083320,22.529039,22.765965,22.765965,22.529039,22.083320,21.476559,20.764026,20.000000,
20.000000,20.367293,20.708719,20.997876,21.209052,21.320822,21.320822,21.209052,20.997876,20.708719,20.367293,20.000000,
20.000000,20.000000,20.000000,20.000000,20.000000,20.000000,20.000000,20.000000,20.000000,20.000000,20.000000,20.000000,
